PPD name,count,svc_id
cardiovascular|arrhythmias|atrial fibrillation,307,36
admission diagnosis|Elective|Yes,297,37
cardiovascular|ventricular disorders|hypertension,296,38
infectious diseases|cultures / immuno-assays|cultures|blood,296,39
neurologic|procedures / diagnostics|head CT scan,295,40
admission diagnosis|Non-operative Organ Systems|Organ System|Respiratory,291,41
gastrointestinal|medications|stress ulcer prophylaxis|famotidine,282,42
pulmonary|ventilation and oxygenation|oxygen therapy (40% to 60%),276,43
infectious diseases|cultures / immuno-assays|cultures,276,44
cardiovascular|non-operative procedures|diagnostic ultrasound of heart|transthoracic echocardiography,265,45
cardiovascular|arrhythmias|atrial fibrillation|with rapid ventricular response,256,46
neurologic|pain / agitation / altered mentation|sedative agent|lorazepam,256,47
admission diagnosis|Non-operative Organ Systems|Organ System|Neurologic,252,48
cardiovascular|ventricular dysfunction|intravenous diuretic|IV furosemide,247,49
pulmonary|disorders of the airways|acute COPD exacerbation,243,50
cardiovascular|vascular disorders|VTE prophylaxis|compression boots,239,51
general|support services|physical therapy consult,238,52
cardiovascular|arrhythmias|antiarrhythmics|class III antiarrhythmic|amiodarone,236,53
neurologic|pain / agitation / altered mentation|analgesics|bolus parenteral analgesics,235,54
gastrointestinal|medications|stress ulcer prophylaxis,231,55
cardiovascular|shock|vasopressors|norepinephrine > 0.1 micrograms/kg/min,230,56
"pulmonary|medications|bronchodilator|beta-agonist|albuterol (Proventil, Ventolin)",230,57
cardiovascular|chest pain / ASHD|hyperlipidemia,227,58
cardiovascular|shock / hypotension|sepsis|severe,224,59
endocrine|glucose metabolism|insulin|continuous infusion,219,60
pulmonary|ventilation and oxygenation|oxygen therapy (< 40%),212,61
cardiovascular|vascular disorders|VTE prophylaxis|low molecular weight heparin|enoxaparin,210,62
infectious diseases|medications|therapeutic antibacterials|penicillins|piperacillin/tazobactam,209,63
cardiovascular|intravenous fluid|normal saline administration|fluid bolus (250-1000mls),205,64
renal|electrolyte correction|electrolyte administration|potassium,204,65
cardiovascular|shock / hypotension|septic shock,204,66
neurologic|consultations|Neurology consultation,196,67
infectious diseases|consultations|Infectious Disease consultation,195,68
infectious diseases|cultures / immuno-assays|cultures|urine,194,69
hematology|white blood cell disorders|leukocytosis,190,70
cardiovascular|myocardial ischemia / infarction|antihyperlipidemic agent|HMG-CoA reductase inhibitor|atorvastatin,190,71
cardiovascular|vascular disorders|VTE prophylaxis|conventional heparin therapy|subcutaneous,189,72
endocrine|glucose metabolism|DKA,187,73
neurologic|altered mental status / pain|pain,187,74
pulmonary|medications|antibacterials,184,75
cardiovascular|shock|vasopressors|norepinephrine <= 0.1 micrograms/kg/min,181,76
cardiovascular|chest pain / ASHD|acute coronary syndrome|acute myocardial infarction (no ST elevation),177,77
pulmonary|ventilation and oxygenation|ventilator weaning,177,78
general|support services|occupational therapy consult,176,79
neurologic|pain / agitation / altered mentation|analgesics|non-narcotic analgesic|acetaminophen,173,80
admission diagnosis|Non-operative Organ Systems|Organ System|Gastrointestinal,172,81
gastrointestinal|consultations|Gastroenterology consultation,165,82
neurologic|altered mental status / pain|drug withdrawal syndrome|alcohol,165,83
neurologic|pain / agitation / altered mentation|sedative agent|propofol,164,84
gastrointestinal|nutrition|enteral feeds|oral feeds,163,85
neurologic|pain / agitation / altered mentation|sedative agent,162,86
neurologic|pain / agitation / altered mentation|analgesics|oral analgesics,159,87
cardiovascular|arrhythmias|antiarrhythmics|class IV antiarrhythmic|diltiazem,159,88
neurologic|seizure therapy|anticonvulsant|levetiracetam,156,89
cardiovascular|intravenous fluid|normal saline administration|aggressive volume resuscitation (>250 mls/hr),156,90
pulmonary|ventilation and oxygenation|CPAP/PEEP therapy,154,91
cardiovascular|shock|vasopressors|phenylephrine (Neosynephrine),153,92
admission diagnosis|Non-operative Organ Systems|Organ System|Metabolic/Endocrine,150,93
infectious diseases|systemic/other infections|sepsis,149,94
pulmonary|medications|bronchodilator|nebulized,149,95
pulmonary|medications|bronchodilator|ipratropium,147,96
endocrine|glucose metabolism|insulin|subcutaneous dose of regular insulin,146,97
cardiovascular|hypertension|beta blocker|metoprolol,145,98
renal|consultations|Nephrology consultation,144,99
cardiovascular|shock / hypotension|hypotension / pressor dependent,144,100
endocrine|thyroid|hypothyroidism,140,101
admission diagnosis|Operative Organ Systems|Organ System|Cardiovascular,140,102
infectious diseases|medications|therapeutic antibacterials|third generation cephalosporin|ceftriaxone,139,103
gastrointestinal|nutrition|enteral feeds|tube feeding,138,104
neurologic|consultations|Neurosurgery consultation,137,105
cardiovascular|non-operative procedures|diagnostic ultrasound of heart,137,106
gastrointestinal|GI bleeding / PUD|GI bleeding,136,107
renal|intravenous fluid|normal saline administration,135,108
renal|disorder of kidney|chronic renal insufficiency,135,109
cardiovascular|shock / hypotension|hypovolemia,134,110
neurologic|seizures|seizures,134,111
hematology|bleeding and red blood cell disorders|anemia|acute blood loss anemia,130,112
infectious diseases|cultures / immuno-assays|cultures|sputum,130,113
admission diagnosis|Additional APACHE  Information|Thrombolytic Therapy received within 24 hours|No,129,114
neurologic|altered mental status / pain|encephalopathy,129,115
pulmonary|medications|glucocorticoid administration,129,116
cardiovascular|chest pain / ASHD|chest pain,128,117
infectious diseases|medications|therapeutic antibacterials|quinolone|levofloxacin,128,118
surgery|tubes and catheters|foley catheter,128,119
pulmonary|ventilation and oxygenation|tracheal suctioning,128,120
cardiovascular|chest pain / ASHD|coronary artery disease,128,121
infectious diseases|procedures|vascular catheter placement|central venous,127,122
pulmonary|pulmonary infections|pneumonia|aspiration,125,123
renal|electrolyte imbalance|hypokalemia,123,124
cardiovascular|shock|vasopressors,121,125
gastrointestinal|medications|stress ulcer prophylaxis|pantoprazole|IV,118,126
renal|electrolyte correction|electrolyte administration|magnesium,117,127
cardiovascular|vascular disorders|VTE prophylaxis,116,128
hematology|platelet disorders|thrombocytopenia,116,129
renal|disorder of kidney|ESRD (end stage renal disease),116,130
endocrine|electrolyte correction|administration of electrolytes|magnesium,115,131
pulmonary|disorders of the airways|obstructive sleep apnea,115,132
"admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Cardiovascular|Sepsis, pulmonary",114,133
endocrine|electrolyte correction|administration of electrolytes|potassium,114,134
renal|disorder of kidney|chronic kidney disease,114,135
gastrointestinal|abdominal/ general|abdominal pain / tenderness,113,136
gastrointestinal|malnutrition|nutritional deficiency,113,137
pulmonary|pleural disorders|pleural effusion|right,113,138
surgery|analgesics /sedatives/ nmbs|analgesics,109,139
endocrine|glucose metabolism|insulin|subcutaneous dose of longer-acting insulin prepara,109,140
endocrine|glucose metabolism|diabetes mellitus|Type II,108,141
infectious diseases|chest/pulmonary infections|pneumonia,107,142
renal|dialysis|hemodialysis,106,143
renal|medications|bicarbonate|sodium bicarbonate,106,144
infectious diseases|systemic/other infections|signs and symptoms of sepsis (SIRS),106,145
cardiovascular|ventricular disorders|cardiomyopathy,106,146
pulmonary|medications|sedative|propofol,104,147
neurologic|altered mental status / pain|depression,104,148
gastrointestinal|post-GI surgery|s/p exploratory laparotomy,103,149
endocrine|thyroid disorder|thyroid hormone|levothyroxine (T4),103,150
gastrointestinal|exploratory surgery|exploratory laparotomy,103,151
pulmonary|ventilation and oxygenation|oxygen therapy (> 60%),103,152
neurologic|pain / agitation / altered mentation|analgesics|continuous parenteral analgesics,102,153
neurologic|procedures / diagnostics|MRI - head,102,154
renal|disorder of acid base|metabolic acidosis,102,155
infectious diseases|systemic/other infections|fever,102,156
pulmonary|disorders of the airways|asthma / bronchospasm,101,157
general|support services|social work consult,101,158
cardiovascular|chest pain / ASHD|coronary artery disease|known,101,159
neurologic|altered mental status / pain|agitation,101,160
pulmonary|consultations|Pulmonary medicine consultation,101,161
renal|medications|intravenous diuretic|IV furosemide,101,162
pulmonary|medications|antibacterials|vancomycin,98,163
"gastrointestinal|radiology, diagnostic and procedures|CT scan|abdomen",97,164
cardiovascular|hypertension|ACE inhibitor|lisinopril,97,165
cardiovascular|arrhythmias|sinus tachycardia,97,166
admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Metabolic/Endocrine|Diabetic ketoacidosis,96,167
"admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Cardiovascular|CHF, congestive heart failure",96,168
gastrointestinal|intravenous fluid administration|normal saline administration,96,169
endocrine|fluids and electrolytes|hypokalemia,96,170
gastrointestinal|consultations|Surgery consultation,94,171
infectious diseases|GU infections|lower urinary tract infection,93,172
gastrointestinal|GI bleeding / PUD|lower GI bleeding,93,173
renal|electrolyte correction|electrolyte administration|intravenous,92,174
gastrointestinal|endoscopy/gastric instrumentation|esophagogastroduodenoscopy,92,175
renal|disorder of acid base|metabolic acidosis|lactic acidosis,92,176
neurologic|pain / agitation / altered mentation|sedative agent|dexmedetomidine,91,177
pulmonary|respiratory failure|hypercarbia,91,178
gastrointestinal|malnutrition|protein-calorie malnutrition,89,179
cardiovascular|ventricular disorders|acute pulmonary edema,89,180
neurologic|disorders of vasculature|stroke,88,181
pulmonary|radiologic procedures / bronchoscopy|endotracheal tube|insertion,88,182
infectious diseases|medications|therapeutic antibacterials|metronidazole,87,183
pulmonary|ventilation and oxygenation|non-invasive ventilation|face mask,86,184
gastrointestinal|GI bleeding / PUD|upper GI bleeding,86,185
cardiovascular|cardiac arrest|cardiac arrest,86,186
gastrointestinal|medications|antiemetic|promethazine,85,187
pulmonary|vascular disorders|VTE prophylaxis|compression boots,85,188
pulmonary|medications|glucocorticoid administration|parenteral,85,189
cardiovascular|shock|administration of saline solution,85,190
surgery|consultations|Surgery consultation,84,191
cardiovascular|ventricular dysfunction|intravenous diuretic,84,192
cardiovascular|myocardial ischemia / infarction|anticoagulant administration|conventional heparin therapy|intravenous,82,193
pulmonary|pleural disorders|pleural effusion,82,194
renal|electrolyte imbalance|hyponatremia,81,195
pulmonary|respiratory failure|failure to wean,80,196
admission diagnosis|Operative Organ Systems|Organ System|Gastrointestinal,80,197
renal|electrolyte correction|electrolyte administration,79,198
neurologic|pain / agitation / altered mentation|physical restraints,79,199
endocrine|glucose metabolism|hypoglycemia,79,200
toxicology|drug withdrawal|alcohol withdrawal,79,201
"gastrointestinal|radiology, diagnostic and procedures|CT scan|pelvis",79,202
pulmonary|radiologic procedures / bronchoscopy|CT scan,78,203
cardiovascular|chest pain / ASHD|acute coronary syndrome,77,204
infectious diseases|systemic/other infections|sepsis|severe,77,205
renal|electrolyte imbalance|hypomagnesemia,77,206
pulmonary|respiratory failure|chronic respiratory failure,77,207
cardiovascular|cardiac surgery|s/p CABG < 7 days,77,208
cardiovascular|shock / hypotension|cardiogenic shock,76,209
neurologic|pain / agitation / altered mentation|sedative agent|midazolam,75,210
"admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Cardiovascular|Rhythm disturbance (atrial, supraventricular)",75,211
gastrointestinal|medications|antiemetic,75,212
infectious diseases|medications|therapeutic antibacterials|carbapenem|meropenem,75,213
infectious diseases|procedures|vascular catheter placement,74,214
cardiovascular|arrhythmias|digoxin,74,215
pulmonary|respiratory failure|ARDS,74,216
neurologic|altered mental status / pain|delirium,74,217
neurologic|altered mental status / pain|anxiety,73,218
cardiovascular|non-operative procedures|cardiac angiography,73,219
surgery|analgesics /sedatives/ nmbs|analgesics|narcotic analgesic,73,220
"cardiovascular|cardiac arrest|cardiac arrest|witnessed, < 15 minutes CPR",72,221
renal|disorder of kidney|chronic kidney disease|Stage 3 (GFR 30-59),72,222
cardiovascular|arrhythmias|ventricular tachycardia,72,223
pulmonary|radiologic procedures / bronchoscopy|endotracheal tube removal,71,224
pulmonary|radiologic procedures / bronchoscopy|endotracheal tube,71,225
pulmonary|medications|analgesics|narcotic analgesic,71,226
cardiovascular|hypertension|vasodilating agent - IV|hydralazine,70,227
renal|disorder of kidney|acute renal failure|due to sepsis,70,228
cardiovascular|myocardial ischemia / infarction|beta blocker|metoprolol,69,229
pulmonary|pulmonary infections|pneumonia|hospital acquired (not ventilator-associated),69,230
gastrointestinal|nutrition|enteral feeds|enteral formula,68,231
endocrine|electrolyte correction|administration of electrolytes,68,232
pulmonary|pulmonary infections|pneumonia|community-acquired,68,233
"admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Respiratory|Pneumonia, bacterial",68,234
renal|electrolyte correction|electrolyte administration|calcium,67,235
hematology|red blood cell disorders|blood product administration|packed red blood cells|transfusion of 1-2 units prbc's,67,236
neurologic|procedures / diagnostics|head CT scan|without contrast,67,237
pulmonary|vascular disorders|VTE prophylaxis|compression stockings,66,238
gastrointestinal|medications|stress ulcer prophylaxis|omeprazole,66,239
pulmonary|medications|analgesics,66,240
cardiovascular|myocardial ischemia / infarction|ACE inhibitor|lisinopril,65,241
pulmonary|disorders of lung parenchyma|atelectasis/collapse,65,242
cardiovascular|chest pain / ASHD|acute coronary syndrome|acute myocardial infarction (with ST elevation),64,243
infectious diseases|systemic/other infections|hematological effect of infection|leukocytosis,64,244
neurologic|procedures / diagnostics|EEG,64,245
cardiovascular|shock|vasopressors|vasopressin,64,246
infectious diseases|medications|therapeutic antibacterials|empiric antibacterial coverage,64,247
cardiovascular|vascular disorders|VTE prophylaxis|conventional heparin therapy,64,248
cardiovascular|arrhythmias|atrial fibrillation|with controlled ventricular response,64,249
renal|electrolyte imbalance|hyperkalemia,63,250
endocrine|electrolyte correction|administration of electrolytes|intravenous,63,251
pulmonary|ventilation and oxygenation|mechanical ventilation|assist controlled,63,252
pulmonary|medications|antibacterials|quinolone|levofloxacin,63,253
"admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Cardiovascular|Infarction, acute myocardial (MI)",63,254
cardiovascular|hypertension|clonidine,62,255
cardiovascular|shock|vasopressors|dopamine  5-15 micrograms/kg/min,62,256
admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Respiratory|Emphysema/bronchitis,61,257
"gastrointestinal|radiology, diagnostic and procedures|CT scan",61,258
cardiovascular|myocardial ischemia / infarction|anticoagulant administration|low molecular weight heparin|enoxaparin,61,259
pulmonary|medications|antibacterials|penicillins|piperacillin/tazobactam,61,260
renal|disorder of kidney|acute renal failure|due to hypovolemia/decreased circulating volume,61,261
gastrointestinal|pancreatic disease|pancreatitis,61,262
endocrine|glucose metabolism|hyperglycemia|stress related,60,263
"admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Cardiovascular|Sepsis, renal/UTI (including bladder)",60,264
cardiovascular|shock / hypotension|signs and symptoms of sepsis (SIRS),60,265
cardiovascular|hypertension|vasodilating agent - IV|nicardipine,60,266
pulmonary|ventilation and oxygenation|oxygen therapy (< 40%)|25-30%,60,267
cardiovascular|ventricular disorders|cardiomyopathy|dilated|ischemic,59,268
cardiovascular|cardiac surgery|valve replacement < 7days|aortic,59,269
neurologic|disorders of vasculature|stroke|ischemic stroke,59,270
neurologic|altered mental status / pain|obtundation,59,271
hematology|coagulation and platelets|vitamin K,59,272
cardiovascular|arrhythmias|electrolyte administration|magnesium,59,273
hematology|consultations|Hematology consultation,58,274
gastrointestinal|abdominal/ general|obesity,58,275
pulmonary|medications|nicotine patch,58,276
pulmonary|pleural disorders|pleural effusion|left,58,277
gastrointestinal|medications|laxatives|doss (Colace),58,278
infectious diseases|medications|antifungal therapy|fluconazole,57,279
renal|disorder of urinary tract / renal system infection|urinary tract infection,57,280
cardiovascular|consultations|Cardiac surgery consultation,57,281
admission diagnosis|Additional APACHE  Information|PTCA done within 24 hours|none,57,282
cardiovascular|arrhythmias|beta blocker|metoprolol,56,283
pulmonary|medications|sedative,56,284
cardiovascular|myocardial ischemia / infarction|nitroglycerin,56,285
cardiovascular|myocardial ischemia / infarction|antihyperlipidemic agent,55,286
infectious diseases|medications|therapeutic antibacterials|fourth generation cephalosporin|cefepime,55,287
gastrointestinal|abdominal/ general|nausea,55,288
gastrointestinal|hepatic disease|hepatic dysfunction|with cirrhosis,55,289
pulmonary|surgery / incision and drainage of thorax|tracheostomy,54,290
cardiovascular|myocardial ischemia / infarction|antiplatelet agent|aggregation inhibitors|clopidogrel,54,291
cardiovascular|shock / hypotension|sepsis|sepsis with multi-organ dysfunction,54,292
cardiovascular|chest pain / ASHD|acute coronary syndrome|myocardial ischemia,54,293
gastrointestinal|hepatic disease|hepatic dysfunction,53,294
cardiovascular|vascular disorders|hypertension|controlled,52,295
gastrointestinal|nutrition|parenteral feeds|TPN,52,296
cardiovascular|intravenous fluid|normal saline administration|moderate volume resuscitation (150-250 mls/hr),52,297
cardiovascular|intravenous fluid|colloid administration|albumin,52,298
hematology|coagulation disorders|coagulopathy,52,299
pulmonary|disorders of vasculature|pulmonary embolism,52,300
endocrine|fluids and electrolytes|hypomagnesemia,51,301
renal|fluid imbalance|hypovolemia,51,302
admission diagnosis|Non-operative Organ Systems|Organ System|Trauma,51,303
infectious diseases|medications|therapeutic antibacterials|macrolide|azithromycin,51,304
neurologic|disorders of vasculature|stroke|hemorrhagic stroke,51,305
admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Cardiovascular|Cardiac arrest (with or without respiratory arrest; for respiratory arrest see Respiratory System),50,306
gastrointestinal|hepatic disease|viral hepatitis|hepatitis C,50,307
neurologic|altered mental status / pain|bipolar disorder,50,308
cardiovascular|arrhythmias|atrial flutter,49,309
pulmonary|medications|bronchodilator|inhaled,49,310
toxicology|drug overdose|drug overdose- general,49,311
cardiovascular|hypertension|vasodilating agent - IV|labetalol,49,312
gastrointestinal|pancreatic disease|pancreatitis|acute,49,313
neurologic|altered mental status / pain|encephalopathy|metabolic,49,314
gastrointestinal|medications|hormonal therapy (for varices)|octreotide,48,315
oncology|consultations|oncology consultation,48,316
"admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Neurology|CVA, cerebrovascular accident/stroke",48,317
endocrine|glucose metabolism|hyperglycemia|suspected,48,318
surgery|tubes and catheters|nasogastric tube,48,319
cardiovascular|myocardial ischemia / infarction|antihyperlipidemic agent|HMG-CoA reductase inhibitor|simvastatin,47,320
general|support services|discharge planning consult,47,321
neurologic|altered mental status / pain|sedated,47,322
cardiovascular|myocardial ischemia / infarction|beta blocker,47,323
gastrointestinal|medications|antiemetic|anticholinergic|diphenhydramine,47,324
infectious diseases|systemic/other infections|septic shock,46,325
gastrointestinal|medications|stress ulcer treatment|pantoprazole|IV,46,326
neurologic|pain / agitation / altered mentation|sedative agent|diazepam,46,327
cardiovascular|vascular disorders|hypertension|hypertensive emergency/urgency,46,328
"admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Gastrointestinal|Bleeding, upper GI",46,329
oncology|chest tumors|primary lung cancer,46,330
surgery|analgesics /sedatives/ nmbs|analgesics|bolus parenteral analgesics,46,331
surgery|wounds / temperature|wound care,46,332
neurologic|seizure therapy|anticonvulsant,45,333
cardiovascular|vascular disorders|VTE prophylaxis|low molecular weight heparin,45,334
cardiovascular|intravenous fluid|blood product administration|packed red blood cells|transfusion of > 2 units prbc's,45,335
endocrine|glucose metabolism|glucose|D50,45,336
admission diagnosis|Non-operative Organ Systems|Organ System|Genitourinary,45,337
renal|electrolyte imbalance|hypophosphatemia,45,338
neurologic|ICH/ cerebral infarct|antihypertensives|nicardipine,45,339
cardiovascular|arrhythmias|SVT,44,340
pulmonary|respiratory failure|pulmonary aspiration,43,341
pulmonary|medications|sedative|midazolam,43,342
admission diagnosis|Additional APACHE  Information|Internal mammary artery graft?|Yes,43,343
surgery|tubes and catheters|chest tube,43,344
neurologic|procedures / diagnostics|neurosurgery|therapeutic craniotomy|for hematoma,43,345
"admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Cardiovascular|Sepsis, GI",43,346
cardiovascular|shock / hypotension|sepsis|sepsis with single organ dysfunction- acute respiratory failure,43,347
renal|disorder of kidney|acute renal failure|acute tubular necrosis,42,348
endocrine|intravenous fluid administration|normal saline administration,42,349
hematology|coagulation disorders|coagulopathy|coumadin administration,42,350
infectious diseases|systemic/other infections|bacteremia,42,351
cardiovascular|myocardial ischemia / infarction|alpha/beta blocker|carvedilol,42,352
cardiovascular|hypertension|alpha/beta blocker|labetalol,42,353
cardiovascular|arrhythmias|electrolyte administration|potassium,41,354
neurologic|altered mental status / pain|dementia,41,355
gastrointestinal|medications|analgesics,41,356
surgery|tubes and catheters|surgical drains,41,357
cardiovascular|ventricular dysfunction|inotropic agent|dobutamine,41,358
"admission diagnosis|All Diagnosis|Operative|Diagnosis|Cardiovascular|CABG alone, coronary artery bypass grafting",41,359
cardiovascular|intravenous fluid|Lactated Ringer's administration,41,360
endocrine|electrolyte correction|administration of electrolytes|oral,41,361
cardiovascular|cardiac surgery|CABG < 7days,41,362
cardiovascular|arrhythmias|calcium channel blocker|diltiazem,41,363
renal|procedures/radiology|renal ultrasound,41,364
cardiovascular|shock / hypotension|sepsis|sepsis with single organ dysfunction- acute renal failure,40,365
hematology|bleeding and red blood cell disorders|anemia|anemia of chronic disease,40,366
pulmonary|radiologic procedures / bronchoscopy|bronchoscopy,40,367
cardiovascular|hypertension|alpha/beta blocker|carvedilol,40,368
neurologic|pain / agitation / altered mentation|sedative agent|haloperidol,40,369
cardiovascular|arrhythmias|antiarrhythmics,40,370
cardiovascular|shock / hypotension|septic shock|cultures pending,40,371
cardiovascular|myocardial ischemia / infarction|anticoagulant administration|conventional heparin therapy|subcutaneous,40,372
cardiovascular|arrhythmias|electrolyte administration,40,373
pulmonary|medications|antibacterials|macrolide|azithromycin,40,374
infectious diseases|medications|prophylactic antibacterials,40,375
gastrointestinal|medications|lactulose,39,376
cardiovascular|shock / hypotension|dehydration,39,377
renal|dialysis|hemodialysis|for chronic renal failure,39,378
"gastrointestinal|medications|laxatives|bisacodyl (Dulcolax, Fleet)",39,379
neurologic|seizure therapy|anticonvulsant|gabapentin,39,380
infectious diseases|systemic/other infections|sepsis|sepsis with multi-organ dysfunction syndrome,39,381
cardiovascular|non-operative procedures|intraaortic balloon pump,39,382
neurologic|procedures / diagnostics|lumbar puncture,39,383
gastrointestinal|medications|stress ulcer prophylaxis|pantoprazole|oral,39,384
renal|electrolyte correction|electrolyte administration|oral,38,385
neurologic|altered mental status / pain|encephalopathy|toxic,38,386
neurologic|ICH/ cerebral infarct|nimodipine,38,387
cardiovascular|consultations|Vascular surgery consultation,38,388
renal|medications|intravenous diuretic,37,389
cardiovascular|myocardial ischemia / infarction|analgesics|narcotic analgesic,37,390
"infectious diseases|skin, bone and joint infections|cellulitis|extremity",37,391
gastrointestinal|medications|antibiotics,37,392
surgery|pulmonary therapies|mechanical ventilation,37,393
pulmonary|ventilation and oxygenation|oxygen therapy (> 60%)|>90%,37,394
cardiovascular|intravenous fluid|blood product administration|packed red blood cells|transfusion of 1-2 units prbc's,37,395
toxicology|drug overdose|drug levels,37,396
pulmonary|ventilation and oxygenation|oxygen therapy (40% to 60%)|face mask,37,397
neurologic|pain / agitation / altered mentation|SSRI administration|fluoxetine (Prozac),37,398
gastrointestinal|post-GI surgery|s/p surgery for intestinal obstruction,37,399
admission diagnosis|Elective|No,36,400
surgery|GI therapies|stress ulcer prophylaxis,36,401
pulmonary|respiratory failure|acute on chronic respiratory failure not due to CHF,36,402
burns/trauma|consultations|Trauma surgery consultation,36,403
cardiovascular|vascular disorders|anticoagulant administration|conventional heparin therapy|intravenous,36,404
gastrointestinal|abdominal/ general|obesity|morbid,36,405
cardiovascular|shock / hypotension|hypovolemic shock,36,406
cardiovascular|cardiac surgery|CABG,36,407
renal|electrolyte imbalance|hypocalcemia,36,408
renal|medications|bicarbonate,35,409
neurologic|ICH/ cerebral infarct|antihypertensives|hydralazine,35,410
cardiovascular|myocardial ischemia / infarction|analgesics|oral analgesics,35,411
pulmonary|ventilation and oxygenation|mechanical ventilation|pressure support,35,412
neurologic|post-neurosurgery|post craniotomy,35,413
endocrine|thyroid disorder|thyroid hormone|oral,35,414
endocrine|glucose metabolism|glucose,35,415
neurologic|consultations|Psychiatry consultation,35,416
gastrointestinal|abdominal/ general|nausea|with vomiting,35,417
pulmonary|medications|antibacterials|third generation cephalosporin|ceftriaxone,35,418
gastrointestinal|exploratory surgery|exploratory laparoscopy,35,419
cardiovascular|hypertension|beta blocker,35,420
pulmonary|ventilation and oxygenation|mechanical ventilation|tidal volume 6-10 ml/kg,35,421
hematology|coagulation and platelets|blood product administration|fresh frozen plasma,35,422
gastrointestinal|post-GI surgery|s/p exploratory laparoscopy,35,423
endocrine|glucose metabolism|oral hypoglycemic administration,34,424
"admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Gastrointestinal|Bleeding, lower GI",34,425
hematology|oncology and leukemia|myelodysplastic syndrome|chronic myelomonocytic leukemia,34,426
cardiovascular|myocardial ischemia / infarction|antihyperlipidemic agent|HMG-CoA reductase inhibitor,34,427
neurologic|procedures / diagnostics|neurosurgery|therapeutic craniotomy|for tumor,34,428
oncology|GI tumors|liver CA|CA metastatic to liver,34,429
gastrointestinal|nutrition|enteral feeds,34,430
pulmonary|respiratory failure|respiratory arrest,34,431
cardiovascular|chest pain / ASHD|coronary artery disease|s/p CABG,34,432
surgery|infection|prophylactic antibacterials,34,433
pulmonary|respiratory failure|Tracheostomy performed during this admission for ventilatory support,34,434
pulmonary|ventilation and oxygenation|oxygen therapy (40% to 60%)|40-50%,33,435
"admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Cardiovascular|Angina, unstable (angina interferes w/quality of life or meds are tolerated poorly)",33,436
neurologic|seizures|seizures|status epilepticus,33,437
admission diagnosis|Patient transferred from another hospital to the current hospital within 48 hours prior to ICU admission|Patient transferred from another hospital to the current hospital within 48 hours prior to ICU admission,33,438
cardiovascular|post vascular surgery|s/p cartoid endarterectomy,33,439
cardiovascular|myocardial ischemia / infarction|analgesics|bolus parenteral analgesics,33,440
renal|electrolyte correction|electrolyte administration|phosphate,33,441
